date,max_temp,min_temp,rainfall,humidity,wind_speed
2026-06-01,31,24,0,68,12
2026-06-02,32,25,2,71,10
2026-06-03,30,24,15,86,8
2026-06-04,29,23,42,94,6
2026-06-05,31,24,0,70,14
2026-06-06,33,25,0,65,18
2026-06-07,34,26,0,60,20
2026-06-08,35,27,0,58,22
2026-06-09,34,26,8,74,15
2026-06-10,32,25,25,88,9
2026-06-11,30,24,38,95,7
2026-06-12,29,23,55,98,5
2026-06-13,30,23,18,89,8
2026-06-14,31,24,5,81,12
2026-06-15,32,25,0,72,14
2026-06-16,33,26,0,69,16
2026-06-17,34,26,0,63,19
2026-06-18,35,27,0,59,21
2026-06-19,34,26,6,73,16
2026-06-20,32,25,30,91,10
2026-06-21,30,24,47,96,7
2026-06-22,29,23,63,99,5
2026-06-23,30,24,21,90,8
2026-06-24,31,24,9,84,11
2026-06-25,32,25,0,74,13
2026-06-26,33,26,0,67,17
2026-06-27,34,27,0,61,20
2026-06-28,35,27,0,57,23
2026-06-29,34,26,12,77,15
2026-06-30,32,25,27,89,10
