date,station,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,pressure_hpa
2025-01-01,Cotonou,26.6,83.5,0.0,3.0,1016.5
2025-01-01,Porto-Novo,25.3,73.9,1.1,2.7,1012.8
2025-01-01,Ouidah,26.5,87.6,0.0,3.7,1013.7
2025-01-01,Abomey-Calavi,28.6,82.5,0.0,2.4,1012.4
2025-01-01,Bohicon,24.8,81.4,0.0,3.9,1014.8
2025-01-01,Abomey,26.1,77.2,0.0,1.5,1013.8
2025-01-01,Parakou,23.8,72.1,0.0,2.4,1016.3
2025-01-01,Natitingou,22.6,66.6,0.0,1.5,1017.0
2025-01-01,Kandi,27.0,57.8,0.0,2.9,1016.4
2025-01-01,Malanville,28.4,52.2,0.0,2.3,1015.6
2025-01-02,Cotonou,27.9,90.9,0.0,2.4,1014.7
2025-01-02,Porto-Novo,28.6,85.8,0.0,3.2,1011.5
2025-01-02,Ouidah,25.1,81.4,0.0,1.5,1013.2
2025-01-02,Abomey-Calavi,27.1,80.7,0.0,3.0,1017.3
2025-01-02,Bohicon,25.0,71.4,0.0,3.3,1016.1
2025-01-02,Abomey,25.0,72.9,0.0,2.8,1013.9
2025-01-02,Parakou,27.4,71.3,0.0,2.1,1017.4
2025-01-02,Natitingou,24.3,63.6,0.9,2.4,1013.2
2025-01-02,Kandi,28.1,60.2,0.0,0.8,1013.9
2025-01-02,Malanville,27.9,54.7,0.0,2.4,1012.7
2025-01-03,Cotonou,26.6,91.3,0.5,3.1,1014.2
2025-01-03,Porto-Novo,25.8,80.0,0.0,2.6,1014.5
2025-01-03,Ouidah,25.7,80.8,0.5,1.5,1012.2
2025-01-03,Abomey-Calavi,26.8,82.1,0.0,4.1,1013.7
2025-01-03,Bohicon,27.9,67.7,0.0,3.8,1015.6
2025-01-03,Abomey,26.4,72.5,0.0,3.4,1015.7
2025-01-03,Parakou,25.7,64.6,0.0,2.0,1014.2
2025-01-03,Natitingou,25.3,58.4,0.0,1.1,1014.6
2025-01-03,Kandi,27.2,62.3,0.0,2.2,1013.0
